RATING,KATEGORI,GAMBAR,PRODUK,BRAND,DESKRIPSI,HARGA,skin_type,keywords,allergen
"4,3",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1644821774_avoskin_pe_800x800.jpg,Perfect Hydrating Treatment Essence,AVOSKIN,"AVOSKIN Perfect Hydrating Treatment Essence merupakan essence dengan tekstur cair yang mudah meresap dan dapat memberikan kelembapan dan kesegaran pada kulit. Mengandung Ascorbic Acid/ETVC, ekstrak Chamomile, Carrot Oil dan Rosehip Oil yang akan menjadikan kulit lembut dan kenyal, menyamarkan tampilan pori-pori, dan mencerahkan kulit. Tersedia dalam ukuran 30 ml dan 100 ml. 
  
  How to Use:
  Tuangkan essence secukupnya pada kapas atau telapak tangan, kemudian aplikasikan ke wajah yang sudah dibersihkan secara merata. Dapat digunakan pada pagi dan malam hari.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Aqua, Alcohol, Ethyl Ascorbic Acid, Propylene Glycol, Glycerin, Fragrance, Chamomile (Anthemis Nobilis) Extract, Carrot (Carota Sativa) Oil, Rosa Canina (Rosehip) Oil, Carbomer, Triethanolamine, Mineral Oil",Rp165.400,semua,"pori , kelembapan , mencerahkan kulit , pori pori , mudah , tekstur , ekstrak , menyamarkan , merata , mencerahkan",Tidak
4,serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1520594115_FD_Best_of_800x800.jpg,Snail Bee High Content Essence,Benton,"Benton Snail Bee High Content Essence merupakan serum untuk semua kulit wajah. Produk ini merupakan serum yang terbuat dari air, snail secretion filtrate, bee venom, dan EGF untuk menghaluskan kulit yang rusak dan kasar serta melindungi kulit dari radikal bebas atau polusi. Produk ini juga dapat meratakan warna kulit, merawat jerawat dan melembabkan kulit. Produk ini juga mengandung arbutin dan adenosine untuk mencerahkan kulit wajah dan mencegah kulit dari tanda-tanda penuaan. 
  
  How to Use:
  Aplikasikan produk ini pada wajah hingga menyerap.
  
  Suitable for:
  Semua jenis kulit.
  
 Ingredients:
  Snail Secretion Filtrate, Aloe Barbadensis Leaf Juice, Glycerin, Arbutin, Human Ogliopeptide-1, Bee Venom, Plantago Asiatica Extract, Laminana Digita Extract, Dios Pyros Kaki Leaf Extract, Salix Alba (Willow) Bark Extract, Ulmus Campestris (Elm) Extract, Bacilus Ferment, Azelaic Acid, Althaea Rosea Flower Extract",Rp180.000,semua,"menyerap , merawat , melindungi kulit , flower , bebas , semua , mencerahkan kulit , mencegah , melindungi , jerawat",Tidak
"4,6",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1674530137_Somethinc__800x800.png,Niacinamide + Moisture Sabi Beet Brightening Serum,Somethinc,"Somethinc Niacinamide + Moisture Sabi Beet Brightening Serum merupakan serum yang membantu kulit tampak lebih cerah, menghambat pembentukan pigmen kulit atau menyamarkan noda hitam, menyembuhkan luka, melembabkan, menghaluskan kulit dan juga anti aging. Memiliki dua varian yaitu 5% Niacinamide + Moisture Sabi Beet Serum dan 10% Niacinamide + Moisture Sabi Beet Max Brightening Serum.
  
  5% Niacinamide + Moisture Sabi Beet Serum cocok untuk pemula yang takut mencoba % dosis tinggi, dan orang yang memiliki toleransi % rendah dengan bahan aktif, terutama Niacinamide.
  
  10% Niacinamide + Moisture Sabi Beet Max Brightening Serum cocok untuk orang yang benar-benar mengerti jenis bahan aktif apa yang dibutuhkan kulitnya, orang yang membutuhkan bahan aktif lebih tinggi ke dalam rutinitas perawatan kulit mereka, dan orang yang memiliki toleransi tinggi dengan bahan aktif.
  
  How to use:
  Tuangkan 5-10 tetes serum pada telapak tangan. Aplikasikan pada seluruh wajah secara merata.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Centella Asiatica Leaf Water, Niacinamide, Methylpropanediol, Betaine, Water, 1,2-Hexanediol, Glycerin, Polysorbate 20, Ammonium Acryloyldimethyltraurate/VP Copolymer, Polyglyceryl-10 Laurate",Rp170.000,semua,"menyamarkan noda , kulit cerah , anti , noda hitam , jenis , polysorbate , noda , menyamarkan , hitam , melembabkan",Tidak
"4,3",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1545205078_Laneige_Cl_800x800.jpg,Clear C Advanced Effector EX,Laneige,"Laneige Clear C Advanced Effector dengan 92.5% ekstrak superberi yang merupakan antioksidan dalam perawatan kulit. Mengandung ekstrak dari ceri aserola, dan beri acai, superberi dengan efek antioksidasi empat kali dari Vitamin C, mencegah kulit dari oksidasi untuk membantu mendapatkan penampilan yang lebih sehat, dan juga mengandung Melacrusher dan ekstrak superberi, komponen dengan efek mencerahkan 3,5 kali saat digunakan bersama-sama untuk mendapatkan kulit cerah dan bersih. Formula jenis air ini dengan cepat diserap oleh kulit saat melembabkan. Tidak seperti esensi berbasis air pada umumnya, wadahnya mempunyai pompa yang membuat mudah untuk mengeluarkannya.
  
  How to Use:
  Tuang essence pada kapas dan usapkan dengan lembut pada kulit untuk secara merata. Gunakan setelah toner dan sebelum serum.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Malpighia Emarginata (Acerola) Fruit Extract, EuteRp e Oleracea Fruit Extract, Propanediol, Alcohol, Niacinamide, Butylene Glycol, Moringa Pterygosperma Seed Extract, Melia Azadirachta Extract, Prunus Mume Fruit Extract",Rp470.000,semua,"ekstrak , saat , kali , seperti , kulit cerah , antioksidan , formula , jenis , propanediol , mencegah",Tidak
"4,2",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1640589470_6175bf619b_800x800.jpg,Radiant Skin Serum,ElsheSkin,"Elsheskin Radiant Skin Serum dengan kandungan Arbutin dan Niacinamide dapat membantu menyamarkan noda hitam bekas jerawat, meratakan dan mencerahkan warna kulit serta ringan dan cepat meresap sehingga nyaman digunakan sehari-hari.
  
  How to use:
  Bersihkan wajah menggunakan cleanser. Gunakan serum setelah menggunakan toner.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
 Aqua, Propylene Glycol, Butylene Glycol, Arbutin, Citric Acid, Sodium Sulfite, Acetyl Tyrosine, Saxifraga Sarmentosa Extract, Paeonia Suffruticosa Root Extract, Aminopropyl Ascorbyl Phosphate, Scutellaria Baicalensis Root Extract, Glutathione, Glycerin, Niacinamide, PEG-400, Vitis Vinifera Seed Extract, Lecithin, Linoleic Acid, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, PEG-40 Hydrogenated Castor Oil, Tocopherol, Alcohol, Sodium Hyaluronate, Phenoxyethanol, Ethylhexylglycerin, Aminoethylphosphinic Acid, Sodium Methylparaben, Xanthan Gum, Carbomer, Aminomethyl Propanol, Methylparaben, Sodium Metabisulfite, Disodium EDTA, Sodium Bisulfite.",Rp215.000,semua,"ascorbyl , root , skin , cleanser , menyamarkan noda , bekas , noda hitam , toner , noda , menyamarkan",Tidak
4,serum,//image.femaledaily.com/dyn/210/images/prod-pics/2036a60cee8ab3b49f7e2e22b5bee1c4.jpg,Whitening Acne Serum,Scarlett,"Di dalam Acne Serum terdapat kandungan Tea Tree Leaf Water, Salicylic Acid, Jeju Centella Asiatica, Liquorice Extract dan Vitamin C yang dimana bermanfaat sebagai :
 
 1. Membantu menyembuhkan jerawat meradang, jerawat batu, kulit kemerahan dan iritasi.
 2. Membantu meregenerasi dan menjaga kulit yang sensitive tanpa menimbulkan iritasi.
 3. Membantu menenangkan kulit, menghaluskan dan juga membantu memudarkan bekas jerawat atau luka.
 4. Membantu mencerahkan kulit secara aman karena menggunakan Liquorice Extract dan Vitamin C yang juga berfungsi sebagai anti oxidant + anti pollution.
 5. Membantu mengontrol kadar minyak berlebih di kulit.
 
 Suitable for:
 Kulit berjerawat, kulit berminyak, kulit kering
 
 Ingredients:
 Aqua, Melaleuca Alternifolia (Tea Tree) Leaf Water, Annona Cherimola Fruit Extract, Isopentyldiol, Centella Asiatica Extract, PEG-8, Phenoxyethanol, Salicylic Acid, Ascorbyl Glucoside, Aminomethyl Propanol, Hydroxyethylcellulose, 1,3 Butylene glycol, Pentane - 1,2-Diol, Disodium EDTA, Ethylhexylglycerin, Isostearamidopropyl Ethyldimonium Ethosulfate, Sodium Hydroxide, Sodium Citrate, 1.2 Hexanediol, Tamarindus Indica Seed Gum, Biosaccharide Gum-1, Phenylpropanol, Sodium Dehydroacetate, Propylene Glycol, Citric Acid, 2-Aminobutanol, Glycyrrhiza Uralensis(Licorice) Root Extract, Olea Europaea (Olive) Fruit Oil, Carthamus Tinctorius (Safflower) Seed Oil",Rp75.000,kering,"membantu , jerawat , anti , iritasi , vitamin , minyak berlebih , berlebih , kulit kulit , bekas , berjerawat",Tidak
"4,8",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1643266291_Glyco_Seru_800x800.jpg,Glycolic Bright Instant Glowing Serum,L'Oreal Paris,"L'Oreal Paris Glycolic Bright Instant Glowing Face Serum merupakan serum yang diformulasikan dengan konsentrasi optimal 1% Brightening Glycolic Acid, menyamarkan noda hitam, dan mencerahkan untuk kulit tampak glowing lebih merata. 
  
  How to use:
  Tuang 3-5 tetes produk pada telapak tangan. Usapkan pada wajah secara merata
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  AQUA/WATER, GLYCERIN, ALCOHOL, DIPROPYLENE GLYCOL, BUTYLENE GLYCOL, PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN, NIACINAMIDE, HYDROXETHYLPIPERAZINE ETHANE SULFONIC ACID, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, GLYCOLIC ACID, 3-0-ETHYL ASCORBIC ACID, ISONONYL ISONONANOATE, LINALOOL",Rp185.000,semua,"merata , menyamarkan noda , face , noda hitam , mencerahkan kulit , diformulasikan , noda , menyamarkan , hitam , mencerahkan",Ya
"4,4",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1646805979_L_Oreal_Pa_800x800.jpg,Revitalift Crystal Micro Essence,L'Oreal Paris,"L'Oreal Paris Revitalift Crystal Micro Essence merupakan essence yang diformulasikan untuk menjadikan kulit tampak lebih bersih dan memberikan kelembapan menyeluruh. Mengandung Skin Brightening Active dan Centella Asiatica yang dapat mempercepat proses peremajaan kulit, menyamarkan pori-pori, dan menjadikan tekstur kulit lebih halus dan wajah tampak lebih muda. Memiliki tekstur cair yang ringan dan mudah meresap, serta cocok digunakan kulit sensitif. Tersedia dalam dua ukuran yaitu 65 ml dan 130 ml
  
  How to Use:
  Aplikasikan pada wajah secara merata sebelum menggunakan pelembap.
  
  Suitable for:
  Kulit berminyak, kulit normal
  
 Ingredients:
  AQUA/ WATER, BUTYLENE GLYCOL, ALCOHOL, HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID, PROPANEDIOL, PPG-6-DECYLTETRADECETH-30, CAPRYLYL GLYCOL, SALICYLIC ACID, SODIUM HYDROXIDE, P-ANISICACID, ADENOSINE, CAPRYLOYL SALICYLIC ACID",Rp199.000,normal,"tekstur , pori , kelembapan , kulit bersih , propanediol , diformulasikan , pori pori , mudah , kulit sensitif , skin",Tidak
5,serum,//image.femaledaily.com/dyn/210/images/prod-pics/e0acc08b75ca6ade4fbafa142da3ee52.jpg,Acne Spot Serum,Azarine Cosmetics,"Serum totol jerawat dengan dual action untuk mengeringkan jerawat dalam 2 hari dan memudarkan bekasnya (PIE/PIH). Diformulasikan dengan New Clinically Proven succinic acid dan cinnamon, yang mampu mengontrol sebum serta anti bakteria. 
 
 Suitable for: 
 Kulit sensitif
 
 Ingredients:
 Aqua, Glycerin*, Succinic Acid, Propanediol, Centella Asiatica Extract*, Capryloyl Glycine, Carica Papaya Fruit Extract, Arbutin, ChloRp henesin, Nelumbo Nucifera Leaf Extract, Camellia Sinensis Leaf Extract*, Psidium Guajava Extract, Angelica Gigas Extract*, Phenoxyethanol, Sarcosine, Xanthan Gum, Cinnamomum Zeylanicum Bark Extract",Rp29.000,sensitif,"jerawat , camellia , anti , propanediol , diformulasikan , kulit sensitif , sensitif",Tidak
4,serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1628568774_1729181026_800x800.png,Alpha Arbutin 2% + HA,The Ordinary,"The Ordinary Alpha Arbutin 2% + HA adalah serum dengan Purified Alpha Arbutin dan Hyaluronic Acid. Alpha Arbutin dapat membantu mengatasi hipeRp igmentasi dan bekas jerawat pada wajah. 
  
  How to Use:
  Aplikasikan beberapa tetes pada wajah yang telah dibersihkan, pagi dan malam hari. Gunakan tabir surya setelah penggunaan pada pagi hari
  
  Suitable for:
  Kulit kering
  
 Ingredients:
  Aqua (Water), Alpha-Arbutin, Polyacrylate Crosspolymer-6, Hydrolyzed Sodium Hyaluronate, Propanediol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Lactic Acid, Trisodium Ethylenediamine Disuccinate, Ethoxydiglycol, Phenoxyethanol, ChloRp henesin.",Rp59.000,kering,"bekas , mengatasi , propanediol , jerawat , kulit kering , kering , membantu",Tidak
