RATING,KATEGORI,GAMBAR,PRODUK,BRAND,DESKRIPSI,HARGA,skin_type,keywords,allergen
"4,2",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/product_1592817015_bc8dcdb2b8_800x800.jpg,Fresh Glow Multifunction Gel Coconut Nourish UV,Citra,"Citra Fresh Glow Coconut Nourish UV Multifunction Gel diformulasikan khusus untuk pengguna hijab dan busana tertutup. Formulanya begitu ringan, tidak lengket, melembabkan dan mencerahkan, menyejukkan kulit wajah & tubuh dengan aroma yang menyegarkan. Gunakan sebagai pelembab dan penyejuk kulit sehari-hari, sleeping mask, dan primer make-up. 
 
 Suitable for:
 Semua jenis kulit
 
 Ingredients:
 Water, Glycerin, Niacinamide, Aloe Barbadensis Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Tocopheryl Acetate, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Perfume, PEG-40 Hydrogenated Castor Oil, Benzophenone-4, Phenylbenzimidazole Sulfonic Acid, Sodium Hydroxide, Disodium EDTA, Glucose, Sodium Carbonate, Propylene Glycol, Sodium Chloride, Lactic Acid, Sodium Sulfate, Phenoxyethanol, Methylparaben, Sodium Benzoate, Potassium Sorbate, Ci 19140, Ci 42090",Rp118.000,semua,"fresh , gel , pelembab , formulanya , menyegarkan , make , benzoate , uv , diformulasikan , melembabkan",Tidak
"4,5",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/product_1547452884_Missha_P_800x800.jpg,Premium Aloe Soothing Gel 95%,Missha,"Cooling gel to soothe and recharge the skin’s hydration level.
  Aloe vera 95% for instant soothing and moisturizing.
  Mild formula for all skin types (free of paraben, benzophenone, colorants, mineral oil,Ingredients:derived from animals)
 
 Suitabel for:
 Semua jenis kulit
 
 Ingredients:
 Aloe Barbadensis Leaf Juice, Alcohol Denat, Triethanolamine, Carbomer, Phenoxyethanol, PEG-60, Hydrogenated Castor Oil, Dipropylene Glycol, ChloRp henesin, Aloe Barbadensis Leaf, Water, Allantoin, Fragrance, Glycerin, Menthyl Ethylamido Oxalate, Butylene Glycol, Edetate Disodium, Saussurea Involucrata (Kar. Et Kir.), Mesembryanthemum Crystallinum Extract, Glyceryl Polyacrylate, Gamma-Polyglutamic Acid, Carrageenan Extract, Sodium Hyaluronate, Cladosiphon Okamuranus Extract, C12-14 Hydroxyalkyl Maltitol Ether, Ethylhexylglycerin, Dioscorea Japonica Root Extract, Rhodiola Rosea Root Extract, Psidium Guajava Leaf Extract, Cinchona Succirubra Bark Extract, Abronia Villosa Leaf Extract, Aloe Barbadensis Leaf Extract, Hydrolyzed Corn Starch, Beta-Glucan, 1,2-Hexanediol, Sucrose",Rp25.000,semua,"root , skin , gel , formula , semua jenis kulit , semua jenis , jenis kulit , semua , jenis",Tidak
"4,3",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/cc91b959c977a59daec0887e7f0f8b7a.jpg,Aloe Vera Gel,Emina,"Membuat kulitmu terasa lembab dari luar dan dalam tanpa terasa lengket. Rasakan sensasi segar dan menenangkan untuk sehari-hari. Cocok untuk semua jenis kulit.
  Mengandung 92% Ekstrak Aloe Vera sebagai pelembab alami Menghidrasi kulit dari luar dan dalam dengan Quadruple Hydration System Tesktur yang ringan dan mudah menyerap tanpa terasa lengket.
 
 Suitable for:
 Semua jenis kulit
 
 Ingredients:
 Aloe Barbadensis Extract, Pentylene Glycol, Water, Carbomer, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra Root Extract, Chamomilla Recutita Flower Extract, Rosmarinus Officinalis Leaf Extract, Butylene Glycol, Allantoin, Citric Acid, Sodium Benzoate, Phenoxyethanol, ChloRp henesin, Glycerin, PEG-40 Hydrogenated Castor Oil, Trideceth-9, Polysorbate 20, Aminomethyl Propanol, Disodium EDTA, Fragrance",Rp55.000,semua,"root , camellia , pelembab , menyerap , menenangkan , flower , benzoate , semua jenis kulit , semua jenis , jenis kulit",Tidak
"4,4",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/product_1590248896308.jpg,Cactus Aloe Vera Soothing Gel,NPURE,"N'pure Cactus Aloevera Soothing Gel peRp aduan ekstrak kaktus, aloevera dan lemon yang diformulasikan untuk menjaga lembapan dan lembutan kulit. Gel tidak lengket dan mudah meresap ini diperkaya dengan vitamin B3 dan provit B5.
  
  How to use:
  Oleskan merata pada tangan, kaki atau bagian tubuh yang memerlukan kelembaban
  
  Suitable for:
  Kulit kering, kulit sensitif
  
 Ingredients:
  Water, Butylene Glycol, Glycerin, Propylene Glycol, Opuntia Ficus-Indica Extract, Citrus Medica Limonum (Lemon) Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Niacinamide, PEG-40 Hydrogenated Castor Oil, Aloe Barbadensis Leaf Juice",Rp28.000,sensitif,"gel , kelembaban kulit , kulit kering kulit , kering kulit , kelembaban , menjaga , diformulasikan , mudah , diperkaya , kulit sensitif",Tidak
"4,6",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/6a027d4e44add00703f65ba3f9855398.jpg,Aloe Vera Gel,Roro Mendut,"Gel pelembab alami yang terbuat dari 93% ekstrak lidah buaya (Aloe Vera) hasil pertanian Indonesia yang berkualitas pilihan terbaik, sangat kaya kadar air dan nutrisi yang bermanfaat bagi kesehatan kulit dan rambutmu! Gel ini bertekstur ringan, mudah diserap dan dapat mendinginkan serta menyegarkan kulit berjerawat, sensitive atau mudah teriritasi. Menjaga kadar air dan kelembaban kulit serta sebagai antioksidan yang cocok untuk semua jenis kulit.
  
  Cara penggunaan :
  Usapkan pada wajah, tubuh, kulit kepala, dan rambut secara merata terutama saat dalam keadaan bersih. Ulangi penggunaan setiap kali dibutuhkan, dapat digunakan kapanpun saat diinginkan.
  
 Suitable for:
 Kulit berminyak
 
 Ingredients:
 Caffein Argan Hyaluronic Acid + Collagen Eye Serum, Sea Cucumber (Gamat) Collagen Serum, Red Algae Hyaluronic Acid B5 Serum, Temulawak Pore Control Serum, CICA Niacinamide Zinc Serum, Spirulina Salicylic Acid B5 Serum, Blewah Mulberry Alpha Arbutin Hyaluronic Acid Serum, Papaya Glutathione Serum, Orange Peel Kojic Acid Serum",Rp80.000,"berminyak, semua","saat , mudah , kelembaban kulit , pelembab , kali , berjerawat , eye , menyegarkan , antioksidan , kelembaban",Tidak
"4,3",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/product_1598412271_mockup_ALO_800x800.jpg,Soothing & Hydrating Aloe Vera Gel,Azarine Cosmetics,"Azarine Cosmetics Spa Soothing & Hydrating Aloe Vera Gel merupakan gel multifungsi yang mengandung Aloe Vera dan Honey yang dapat memberikan kelembapan ekstra pada kulit dan membantu menenangkan kulit dengan sensasi dingin. Dilengkapi ekstrak timun yang berfungsi sebagai antioksidan dan anti iritasi.
  
  How to Use:
  Aplikasikan pada wajah atau tubuh sesuai dengan kebutuhan
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Aqua, Aloe barbadensis Leaf Extract*, Glycerin*, Propanediol*, Polyquartenium 7*, Acrylates/c10-30 Alkyl Acrylate Crosspolymer, Honey*, Cucumis Sativus Fruit Extract*, Panthenol, ChloRp henesin, Phenoxyethanol",Rp35.000,semua,"gel , dilengkapi , kelembapan , anti , menenangkan , antioksidan , iritasi , propanediol , ekstrak , membantu",Tidak
"4,6",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/product_1566878166182jpg,Glowing Green Jelly Treatment,Roro Mendut,"Manfaat Green Jelly:
 - Mencegah komedo dan jerawat
 - Menyamarkan pori- pori
 - Mencerahkan
 - Memberikan hidrasi pada kulit
 - Melembutkan 
 - Menyamarkan noda hitam
 
 Suitable for:
 Kulit kering, kulit sensitif
 
 Ingredients:
 Aqua, Propylene Glycol, Niacinamide, Aloe Barbadensis Leaf Water, Pachyrrhizus Erosus Root Extract, Centella Asiatica Extract, Carbomer, Disodium EDTA, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Acrylates Crosspolymer, Triethanolamine, Bisabolol, Fragrance Components, Finished Fragrances, Ci 42053",Rp65.000,sensitif,"pori , menyamarkan , menyamarkan noda , kulit kering kulit , kering kulit , noda hitam , mencegah , root , pori pori , noda",Tidak
"4,8",skin soothing,//image.femaledaily.com/dyn/210/images/prod-pics/product_1632119250_118a7d78c9_800x800.png,Glowing Red Jelly Treatment,Roro Mendut,"Manfaat Red Jelly:
 Mencerahkan kulit, melembutkan, melembabkan, memudarkan noda hitam dan bekas jerawat, meghidrasi kulit
 
 Suitable for:
 Semua jenis kulit
 
 Ingredients:
 lactobacillus, Prunus Serrulata Flower Extract (bunga cherry Jepang), dan Pullulan (alga merah)",Rp149.000,semua,"bekas , noda hitam , flower , mencerahkan kulit , noda , jerawat , hitam , melembabkan , mencerahkan , semua jenis kulit",Tidak
"4,8",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1583726469_night_mois_800x800.png,C White Night Moisturizer,Azarine Cosmetics,"C White Perfect Radiance Night Moisturizer adalah moisturizer malam yang diformulasikan dengan tekstur gel, sehingga dingin, ringan, serta mudah diserap kulit. Diperkaya dengan ekstrak alami Kakadu Plum, Licorice, dan Papaya yang bekerja secara sinergis untuk melembabkan, merawat, dan mencerahkan kulit. Kulit tampak bercahaya dan kenyal di pagi hari.
  
  How to use:
  Aplikasikan pada malam hari, setelah menggunakan serum
  
  Suitable for:
  Kulit kering
  
 Ingredients:
  Lemon, aloe vera, bengkoang.",Rp65.000,kering,"kulit kulit , merawat , mencerahkan kulit , diformulasikan , mudah , tekstur , diperkaya , ekstrak , gel , melembabkan",Tidak
"3,9",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1545205967_Hada_Labo__800x800.jpg,Perfect 3D Gel,Hada Labo,"Hada Labo Perfect 3D Gel Hada Labo Perfect 3D Gel merupakan solusi lengkap untuk mengatasi masalah kulit dengan 3 manfaat, yaitu Moisturizing, Whitening, dan Anti-Aging. Tekstur gel unik yang mampu kembali seperti semula ketika disentuh, mudah meresap dan bekerja lebih dalam pada kulit. Mengandung 4 tipe Hyaluronic Acid (Hyaluronic Acid, Improved Hyaluronic Acid, Nano Hyaluronic Acid, dan 3D Hyaluronic Acid), Arbutin, Vitamin B3, Yuzu Extract, dan Anti Aging Complex yang bermanfaat untuk mengunci kadar kelembaban pada kulit secara intensif, mencerahkan dan menyamarkan noda hitam pada kulit, sebagai anti oksidan, serta dapat mencegah tanda-tanda penuaan dini.
  
  How to Use:
  Aplikasikan pada area wajah dan leher secara merata. Disarankan penggunaan pada malam hari.
  
  Suitable for : 
  Semua jenis kulit
  
 Ingredients:
  Aqua (Water), Butylene Glycol, Arbutin, Niacinamide, PEG-240/HDI Copolymer Bis-Decyitetradeceth-20 Ether, Glycerin, Glycosyl Trehalose, Hexylglycerin, Phenoxyethanol, Disodium Succinate, Sodium Metabisulfite, Dextrin",Rp91.000,semua,"anti , gel , masalah , kelembaban kulit , seperti , menyamarkan noda , mengatasi , noda hitam , mencegah , kelembaban",Tidak
"3,6",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1594363714_Lightening_800x800.jpg,Lightening Night Cream,Wardah,"Lightening Night Cream merupakan krim pelembab malam hari dengan tekstur ringan yang mencerahkan, melembabkan, dan menutrisi kulit wajah sepanjang malam. Mengandung Advanced Niacinamide yang bantu mencerahkan kulit sekaligus memberikan perlindungan ekstra terhadap efek buruk blue light yang menyebabkan kulit menjadi kusam
  
  How to use:
  Aplikasikan pada wajah pada malam hari secara merata
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Aqua, Isononyl Isononanoate, Niacinamide, Polymethyl Methacrylate, Propylene Glycol, Cetyl Alcohol, Dimethicone, Glyceryl Stearate, Stearic Acid, Butylene Glycol, Phenoxyethanol, Polyacrylamide",Rp45.000,semua,"mencerahkan , pelembab , menutrisi kulit , kulit kusam , menutrisi , mencerahkan kulit , kusam , tekstur , stearic , melembabkan",Tidak
"4,8",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1590248896308.jpg,Night Cream Centella Asiatica,NPURE,"Night Cream Centella Asiatica berfungsi memberikan kelembaban, merawat kehalusan kulit, dan membuat kulit tampak lebih cerah serta merawat kulit yang berjerawat. Night cream ini memiliki tekstur yang ringan, dan bisa dijadikan sleeping mask.
  
  Cara penggunaan : Oleskan secara merata ke seluruh wajah setelah menggunakan toner
  
 Suitable for:
 Kulit normal
 
 Ingredients:
 Aqua, Phenyl Trimethicone, Aloe Barbadensis Leaf Extract, Centella Asiatica Extract, Niacinamide, Polyacrylamide, C13-14 Isoparaffin, Laureth-7, Tranexamic Acid, Salicylic Acid, Cyclopentasiloxane, Dimethicone Crosspolymer, Dimethicone/​Vinyl Dimethicone Crosspolymer, Dimethiconol, Camellia Sinensis Leaf Extract, Dmdm Hydantoin, Phenoxyethanol, Bisabolol, Butylene Glycol, 10-Hydroxydecenoic Acid, Sebacic Acid, 1,10-Decanediol, Hyaluronic Acid, Propanediol, Sodium Hydroxide, Dipotassium Glycyrrhizate, Citrus Junos Seed Extract, Citrus Unshiu Peel Extract, Allantoin, Actinidia Chinensis Seed Extract, Fragaria Chiloensis Fruit Extract, Vitis Vinifera Leaf Extract, Vitis Vinifera Skin Extract, Garcinia Mangostana Peel Extract, Mannitol, Microcrystalline Cellulose, Ci 77289, Tocopheryl Acetate, Hydroxypropyl Methylcellulose, Ci 77288, Ci 42090, Fragrance (Parfum)",Rp115.000,normal,"merawat , camellia , kulit cerah , cyclopentasiloxane , berjerawat , propanediol , kelembaban , parfum , toner , tekstur",Ya
"3,6",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1674198922_D_I_S_C_O__800x800.png,White Secret Night Cream - Discontinued,Wardah,"Wardah White Secret Night Cream adalah krim malam dengan tiga manfaat utama yaitu mengandung Whitening Complex, Licorice Extract, Alpha Arbutin, dan Vitamin B3 untuk mencerahkan kulit, Vitamin E, Pro Vitamin B5, dan Hyaluronic Acid untuk melembabkan dan menutrisi kulit, AHA Natural untuk mengangkat sel-sel kulit mati dan meremajakan sel-sel kulit. Produk ini diformulasikan dengan Matryxil untuk mencegah penuaan pada kulit, dapat membuat kulit lebih cerah dan lebih halus.
  
  How To Use:
  Aplikasikan pada wajah yang telah bersih, gunakan setiap malam hari.
  
  Suitable For:
  Semua jenis kulit
  
 Ingredients:
 Water, Ethylhexyl Methoxycinnamate, Propylene Glycol, 4-Methylbenzylidene Camphor, Undecylenoyl Phenylalanine, Cetyl Alcohol, Glyceryl Stearate, Polyacrylamide, Biosaccharide Gum-1, Butyl Methoxydibenzoylmethane, Dimethicone, Niacinamide, Polymethylsilsesquioxane, Stearic Acid, Cyclopentasiloxane, Phenoxyethanol, PEG-100 Stearate, C13-14 Isoparaffin, Aloe Barbadensis Leaf Juice, Butylene Glycol, Glycerin, Hydrolyzed Wheat Protein/​PVP Crosspolymer, Fragrance, Laureth-7, Dimethicone Crosspolymer, Resveratrol, Tocopheryl Acetate, Disodium EDTA, Ethylhexylglycerin, Caprylic/​Capric Triglyceride, Dimethicone/​Vinyl Dimethicone Crosspolymer, Ubiquinone, Potassium Sorbate, EDTA, Hydrogenated Lecithin, Cholesterol, Dimethiconol, Dextran, Palmitoyl Tripeptide-8, Aluminum Hydroxide, Triethoxycaprylylsilane, Ci 77491",Rp98.000,semua,"sel , vitamin , sel kulit , butyl , menutrisi kulit , kulit cerah , cyclopentasiloxane , menutrisi , mencerahkan kulit , mencegah",Tidak
"4,7",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1643603393_night_crea_800x800.jpg,Be Bright Night Cream,Everwhite,"Everwhite Be Bright Night Cream merupakan krim malam yang diperkaya dengan kandungan pencerah kulit yaitu Kefir, Kolagen, Gluta dan Arbutin. Dapat menutrisi, melembapkan, meremajakan serta mencerahkan kulit. Menjadikan kulit lebih halus, kenyal, dan glowing. 
  
  How to Use:
  Aplikasikan pada seluruh wajah secara merata.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
 Cucumis Sativus (Cucumber) Fruit Extract, Collagen, Arbutin, Glutathione, Niacinamide, Vitamin C, Cetyl Alcohol, Panthenol, Dimethicone, Vitamin E, Phenoxyethanol, Aqua, Fragrance",Rp125.000,semua,"vitamin , kulit kulit , melembapkan , menutrisi , mencerahkan kulit , diperkaya , halus , kandungan , merata , mencerahkan",Tidak
"4,6",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1670311364_BRIGHTENIN_800x800.jpg,Brightening Night Cream,Whitelab,"Whitelab Brightening Night Cream adalah pelembab yang digunakan pada malam hari untuk membantu mencerahkan wajah, melembapkan kulit, dan merawat kekencangan kulit.
  
  How to use:
  Oleskan Whitelab Brightening Day Cream secara merata setelah pemakaian serum pada malam hari.
  
  Suitable for:
  Kulit berminyak
 
 Ingredients:
 Aqua, Glycerin, Butylene Glycol, Isohexadecane, Cetyl Alcohol, Niacinamide, Tranexamic Acid, Licorice Glycyrrhiza Glabra Extract, Dimethicone, Glyceryl Stearate, Stearic Acid, Polyacrylamide, Carbomer, Sodium Hyaluronate, C13-14 Isoparaffin, C9-11 Pareth-6, Titanium Dioxide, PEG-100 Stearate, Parfum, Triethanolamine, Collagen, Allantoin, Tetrasodium EDTA",Rp65.000,berminyak,"titanium dioxide , titanium , pelembab , dioxide , melembapkan , merawat , parfum , stearic , kulit berminyak , berminyak",Ya
"3,7",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1626928487_Packshot_S_800x800.jpg,Sakura White Night Cream,Garnier,"Garnier Sakura White Pinkish Radiance Sleeping Essence adalah krim malam yang diperkaya dengan 2X ekstrak Sakura dari Jepang. Merupakan krim essence lembut dengan paduan Ekstrak Sakura, Ekstak Buah-buahan, dan Vitamin CG, kandungannya dapat melembabkan wajah hingga 24 jam dan membuat kulit wajah bernafas selama digunakan saat tidur. Krim ini membantu mencerahkan warna kulit, menyamarkan bintik hitam, dan merawat kehalusan kulit. Saat bangun tidur, kulit tampak lebih cerah merona sekalgus terasa lebih halus, lembut, kenyal, dan segar. Formulanya sesuai untuk kulit sensitif.
  
  How To Use:
  Aplikasikan krim ke seluruh wajah secara merata dalam keadaan wajah yang bersih, gunakan di malam hari saat ingin pergi tidur
  
  Suitable For:
  Kulit normal, kulit sensitif
  
 Ingredients:
 Aqua/​Water, Glycerin, Alcohol, Niacinamide, Dimethicone, Ammonium Polyacryldimethyltauramide/​Ammonium Polyacryloyldimethyl Taurate, Isononanoate, Ascorbyl Glucoside, Benzyl Alcohol, Benzyl Salicylate, Biosaccharide Gum-1, Ci 14700/​Red 4, Ci 77891/​Titanium Dioxide, Citronellol, Dimethiconol, Geraniol, Hydrogenated Lecithin, Limonene, Linalool, Mannitol, Menthoxypropanediol, Methylisothiazolinone, Microcrystalline Cellulose, Pentasodium Ethylenediamine Tetramethylene Phosphonate, Phenoxyethanol, Prunus Yedoensis Leaf Extract, Salicylic Acid, Sodium Hydroxide, Xanthan Gum, Zea Mays Starch /​ Corn Starch, Parfum/​Fragrance",Rp19.000,sensitif,"saat , kulit sensitif , ekstrak , sensitif , lembut , titanium dioxide , titanium , dioxide , kulit cerah , merawat",Ya
"3,6",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1597142753_White_Expe_800x800.jpg,White Expert Replenishing Night Cream,Safi,"Safi White Expert Replenishing Night Cream adalah krim malam berbasis air dengan tekstur gel ringan yang mudah meresap, diperkaya ekstrak habbatus sauda, oxywhite technology dan bio hyaluronic.
  - Membantu mencerahkan, menyejukkan dan menyamarkan kulit wajah.
  - Membantu menyamaratakan warna kulit muka dengan vitamin B3 selama tidur.
  - Memberikan kelembaban sepanjang malam dengan bio hyaluronic acid.
  
  HABBATUS SAUDA 
  Habbatus Sauda dikenal juga sebagai ""Seed of Blessing"" yang sejak ratusan tahun yang lalu dipercaya sebagai obat untuk segala jenis penyakit. Antioksidan dalam habbatus sauda membantu melindungi kulit dari paparan radikal bebas, memelihara kulit sehatmu agar tampak segar dan cerah.
  
 Suitable for:
 Kulit kering
 
 Ingredients:
 Aqua, Niacinamide, Betaine, Glycerin, Butylene Glycol, Biosaccharide Gum-1, Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Trideceth-6, Sodium Polyacrylate, PEG/​PPG-18/​18 Dimethicone, Carbomer, Bisabolol, Aminomethyl Propanol, Xanthan Gum, Disodium EDTA, Sodium Hyaluronate, Nigella Sativa Seed Oil, Perfluorodecalin, 4-Butylresorcinol, Fragrance, Phenoxyethanol, Methylparaben, Ci 42090",Rp103.000,kering,"membantu , cyclopentasiloxane , melindungi kulit , antioksidan , bebas , kelembaban , mudah , melindungi , tekstur , diperkaya",Tidak
"4,6",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1652415263_wcd_night__800x800.jpg,WhiteCellDNA Night Cream,MS Glow,"MS Glow WhiteCellDNA™ Night Cream adalah krim malam yang diformulasikan untuk mengatasi kulit kusam, noda hitam, dan keluhan akibat rusaknya skin barrier. Diperkaya kandungan Niacinamide dan Squalane yang melembapkan kulit.
  
  How to use:
  Oleskan MS Glow WhiteCellDNA™ Night Cream secukupnya pada kulit yang telah dibersihkan. Gunakan pada malam hari. Hindari kontak dengan mata.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Niacinamide, WhiteCellDNA, Squalance, Madecassoside",Rp90.000,semua,"kulit kusam , melembapkan , hindari , mengatasi , noda hitam , kusam , diformulasikan , noda , diperkaya , skin",Tidak
"4,8",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1625548096_night_crea_800x800.jpg,Brightening Night Cream,White Story,"White Story Brightening Night Cream menggunakan zat aktif Niacinamide, yaitu vitamin B3 yang bermanfaat untuk mencerahkan kulit, melembabkan, serta beRp eran sebagai antioksidan untuk merawat kehalusan kulit. Selain itu, Night Cream ini juga dilengkapi dengan Moringa yang bermanfaat untuk merawat kekencangan dan kehalusan kulit wajah. 
  
  How to use:
  Oleskan Night Cream pada wajah yang telah dibersihkan secara merata. 
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Niacinamide 4 % + Moringa + Gluta",Rp43.000,semua,"merawat , dilengkapi , antioksidan , mencerahkan kulit , melembabkan , vitamin , merata , mencerahkan , semua jenis kulit , semua jenis",Tidak
"3,9",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/1470299433_lg.jpg,White Perfect Clinical Overnight Treatment,L'Oreal Paris,"Loreal White Perfect Clinical Overnight Treatment merupakan serum yang mampu mencerahkan dan menyamarkan bintik hitam.
  
  How to Use:
  Baurkan produk ini pada kulit wajah secara merata.
  
  Suitable for:
  Kulit kering, kulit normal, kulit kombinasi
  
 Ingredients:
 Aqua /​ Water, Glycerin, Propylene Glycol, Hydroxyethylpiperazine Ethane Sulfonic Acid, Ammonium Polyacryldimethyltauramide /​ Ammonium Polyacryloyldimethyl Taurate, Niacinamide, Dimethicone, Dicaprylyl Carbonate, Isononyl Isononanoate, 3-O-Ethyl Ascorbic Acid, Diphenylsiloxy Phenyl Trimethicone, Synthetic Wax, Butyrospermum Parkii Butter /​ Shea Butter, Peg-100 Stearate, Stearic Acid, Glyceryl Stearate, Methyldihydrojasmonate, Sodium Hyaluronate, Palmitic Acid, Aluminum Starch Octenylsuccinate, P-Anisic Acid, Adenosine, Disodium Edta, Hydrogenated Lecithin, Citric Acid, Acetyl Trifluoromethylphenyl Valylglycine, Oxothiazolidinecarboxylic Acid, Cetyl Alcohol, Salicylic Acid, Phenoxyethanol, Ci 15985 /​ Yellow 6, Ci 19140 /​ Yellow 5, Parfum /​ Fragrance, Linalool, Geraniol, Eugenol, Limonene, Citronellol, Butylphenyl Methylpropional, Hexyl Cinnamal, Benzyl Alcohol",Rp150.000,kombinasi,"kulit kering kulit , kering kulit , normal kulit , kulit normal kulit , parfum , stearic , menyamarkan , hitam , normal , kulit normal",Ya
"4,2",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1644299392_19036_larg_800x800.jpg,Midnight Blue Calming Cream,Klairs,"Klairs Midnight Blue Calming Cream dapat melindungi kulit sensitif dari iritasi dan stress. Mengandung ektsrak chamomile yang dapat menenangkan kulit yang rusak dan meregenerasi sel kulit. Dapat pula digunakan untuk mengatasi kulit yang terkabar, eczema, dan penyakit kulit lainnya. Selain itu juga mengandung centella asiatica yang dapat mengatasi kulit yang rusak dan mencegah luka. 
  
  How To Use:
  Ambil sedikit produk lalu aplikasikan pada seluruh wajah dan ratakan. 
  
  Suitable For:
  Kulit sensitif
  
 Ingredients:
  Water, Cetyl Ethylhexanoate, Butylene Glycol, Glycerin, Sodium Hyaluronate, Caprylic/Capric , Triglyceride, Centella Asiatica Extract, Sorbitan Stearate, Cetyl Alcohol, Butyrospermum Parkii (Shea Butter), Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sorbitan Sesquioleate, Glyceryl Stearate.",Rp450.000,sensitif,"mengatasi , kulit sensitif , sensitif , menenangkan , melindungi kulit , iritasi , mencegah , melindungi , sel kulit , sel",Tidak
"3,5",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1642753711_image_remo_800x800.png,Tea Tree Night Lotion,The Body Shop,"The Body Shop Tea Tree Oil Blemish Fade Night Lotion dapat memperbaiki tampilan kulit yang berjerawat, mengontrol minyak namun tetap menjaga kelembaban alami kulit alami saat tidur. Lotion ini ringan dan mudah diserap oleh kulit. Lotion ini diperkaya dengan Community Fair Trade Organic Tea Tree Oil dari Kenya.
  
  How To Use:
  Aplikasikan pada wajah yang telah dibersihkan dan diberi toner. Gunakan pada malam hari sebelum tidur agar krim dapat bekerja dengan baik.
  
  Suitable For:
  Kulit kering
  
 Ingredients:
  Aqua/Water/Eau (Solvent/Diluent), Propanediol (Viscosity Modifier), Glycerin (Humectant), Tapioca Starch Polymethylsilsesquioxane (Absorbent/Anticaking Agent), Calophyllum Inophyllum Seed Oil (Skin Conditioning Agent)",Rp179.000,kering,"lotion , saat , kelembaban kulit , berjerawat , propanediol , kelembaban , menjaga , toner , mudah , diperkaya",Tidak
"3,7",night cream,//image.femaledaily.com/dyn/210/images/prod-pics/product_1540133992_The_Body_S_800x800.jpg,Vitamin E Nourishing Night Cream,The Body Shop,"The Body Shop Vitamin E Nourishing Night Cream merupakan krim malam yang kaya akan minyak gandum dan nutrisi, membantu memberi perlindungan antioxidant dan mengembalikan kelembaban kulit yang hilang saat anda sedang beristirahat di malam hari. Krim ini dapat membuat kulit terasa halus dan lembut.
  
  How To Use:
  Aplikasikan pada wajah dan leher dengan ujung jari setelah mencuci muka dan menggunakan toner, gunakan di malam hari sebelum tidur.
  
  Suitable For:
  Kulit normal, kulit kering
  
 Ingredients:
  Aqua/Water/Eau (Solvent/Diluent), Glycerin (Humectant), Triticum Vulgare Germ Oil/Triticum Vulgare (Wheat) Germ Oil (Emollient), Dimethicone (Skin Conditioning Agent), PPG-2 Myristyl Ether Propionate (Emollient/Skin Conditioner), Stearyl Alcohol (Emollient), Isododecane (Solvent), Cetearyl Alcohol (Emulsifier), Theobroma Cacao Seed Butter/Theobroma Cacao (Cocoa) Seed Butter (Emollient)",Rp199.000,kering,"skin , vitamin , saat , kelembaban kulit , normal kulit , kulit normal kulit , kelembaban , toner , membuat kulit , minyak",Tidak
